Virtual Poster No	Abstract Title	Presenter First Name	Presenter Last Name	Submitter Institution	Parent Category	Primary Category
1956	Physiopy/phys2bids: BIDS formatting of physiological recordings	Stefano	Moia	Basque Center on Cognition, Brain and Language	Neuroinformatics and Data Sharing	Databasing and Data Sharing
1957	Semi-Automatic SEEG Localization and Interactive Neuroimage Visualization in Epilepsy Patients	Adam	Li	Johns Hopkins university	Neuroinformatics and Data Sharing	Workflows
1958	MNI SISCOM: An Open-Source Tool for Subtraction Ictal Single-photon emission CT Coregistered to MRI	Jeremy	Moreau	MNI/MCH	Neuroinformatics and Data Sharing	Informatics Other
1960	NiPreps: enabling the division of labor in neuroimaging beyond fMRIPrep	Oscar	Esteban	Stanford University	Neuroinformatics and Data Sharing	Workflows
1961	FMRIPrep: extending the scanner to produce ready-for-analysis fMRI data	Mathias	Goncalves	Stanford University	Neuroinformatics and Data Sharing	Workflows
1962	ChRIS: An Opensource Software Platform for Containerized Neuro-Imaging Research	Rudolph	Pienaar	Boston Children's Hospital	Neuroinformatics and Data Sharing	Workflows
1963	The ABCD Brain Analysis Tool	Philip	Nguyen	University of Vermont	Neuroinformatics and Data Sharing	Workflows
1964	An Automated Data Management Infrastructure for Multi-site Clinical MRI Studies	Gabrielle	Herman	Centre for Addiction and Mental Health	Neuroinformatics and Data Sharing	Workflows
1965	Cloud-Oriented NeuroImaging with BrainForge: Auto Group ICA, Managed Study Integration, and Beyond	Bradley	Baker	Tri-Institutional Center for Translational Research in Neuroimaging and Data Science (TReNDS)	Neuroinformatics and Data Sharing	Workflows
1966	EzBIDS: The open cloud service for automated, validated DICOM to BIDS conversion	Daniel	Levitas	Indiana University, Bloomingon	Neuroinformatics and Data Sharing	Databasing and Data Sharing
1967	PyNets: Reproducible Ensemble Graph Analysis of Functional and Structural Connectomes	Derek	Pisner	University of Texas at Austin	Neuroinformatics and Data Sharing	Workflows
1968	An Open Science Approach to Manual Neuroanatomical Labeling	Richard	Rushmore	Boston University School of Medicine	Neuroinformatics and Data Sharing	Brain Atlases
1969	Niflows: making neuroimaging tools and analyses FAIR	DOROTA	JARECKA	MIT	Neuroinformatics and Data Sharing	Workflows
1970	The BigBrain Project web platform as a pedagogical tool: Teaching and learning strategies	Paule	Toussaint	McGill University	Neuroinformatics and Data Sharing	Informatics Other
1971	Nilearn and Nistats: Machine learning and statistics for fMRI in Python	Elizabeth	DuPre	McGill University	Neuroinformatics and Data Sharing	Informatics Other
1972	A guide for using neuroimaging meta-analysis techniques and their variability.	Kendra	Oudyk	McGill University	Neuroinformatics and Data Sharing	Informatics Other
1973	NIDM-Terms: A Community-Driven Controlled Vocabulary for Brain Initiative Imaging Experiments	David	Keator	University of California, Irvine	Neuroinformatics and Data Sharing	Databasing and Data Sharing
1974	Constructing a Community-Driven, Structured Vocabulary for Describing Neuroscience Experiments	Karl	Helmer	Massachusetts General Hospital Harvard University	Neuroinformatics and Data Sharing	Informatics Other
1975	A multiscale probabilistic atlas of the human white matter	Yasser	Alemán-Gómez	CHUV	Neuroinformatics and Data Sharing	Brain Atlases
1976	Re-Executability Assessment of the Recent Autism Literature	David	Kennedy	University of Massachusetts Medical School	Neuroinformatics and Data Sharing	Informatics Other
1977	A Unified, End-to-End Pipeline Solution for Human and Nonhuman Functional Connectomics	Hecheng	Jin	Child Mind Institute	Neuroinformatics and Data Sharing	Workflows
1978	Fmralign-tutorials: A series of online tutorials for introducing functional alignment	Elizabeth	DuPre	McGill University	Neuroinformatics and Data Sharing	Informatics Other
1979	Evaluating and Improving Cross-Pipeline Reproducibility in Functional Connectomics: A Case Study	Xinhui	Li	Child Mind Institute	Neuroinformatics and Data Sharing	Workflows
1980	Probabilistic Programming for Bridging the Gap Between Cognitive Science and Statistical Modeling	Valentin	Iovene	Inria	Neuroinformatics and Data Sharing	Databasing and Data Sharing
1981	An online atlas collection for the human cerebellum	Jörn	Diedrichsen	Western University	Neuroinformatics and Data Sharing	Brain Atlases
1982	Visualization of Very Large Volumetric Images in Virtual Reality	David	Shattuck	UCLA	Neuroinformatics and Data Sharing	Informatics Other
1983	The NeuroHub project : vision, components and timeline	Jean-Baptiste	Poline	McGill University	Neuroinformatics and Data Sharing	Informatics Other
1984	OmniiBIDS: Automatic Conversion of Structured NIfTI Datasets to BIDS	Alexandre	Hutton	McGill University	Neuroinformatics and Data Sharing	Databasing and Data Sharing
1985	A Multidimensional Imaging and Neurocognitive Dataset for the Assessment of Dementia	Daniel	Peterson	University of Washington	Neuroinformatics and Data Sharing	Databasing and Data Sharing
1986	Altered cerebral language networks in children with temporal or frontal lobe epilepsy	Alejandra	Hüsser	Université de Montréal	Novel Imaging Acquisition Methods	NIRS
1987	Impact of different pre-processing routines for infant fNIRS data	Jessica	Gemignani	Université Paris Descartes	Novel Imaging Acquisition Methods	NIRS
1988	Disrupted effective connectivity within the default mode network in major depressive disorder	Yun	Wang	Beijing Anding Hospital, Capital Medical University	Novel Imaging Acquisition Methods	BOLD fMRI
1989	Brain Function in the Pre-Adolescent Brain: Results from the ABCD Study.	Bader	Chaarani	UVM	Novel Imaging Acquisition Methods	BOLD fMRI
1990	Predictors of fMRI Neurofeedback regulation in ADHD	Sheut-Ling	Lam	King's College London	Novel Imaging Acquisition Methods	BOLD fMRI
1991	RT-NET: a software package for neural activity estimation from high-density EEG recordings	Roberto	Guarnieri	KU Leuven	Novel Imaging Acquisition Methods	EEG
1992	Investigation of the major depression connectome at resting state using MEG: a preliminary study	Yuichi	Takei	Department of Psychiatry and Neuroscience, Gunma University Graduate School of Medicine	Novel Imaging Acquisition Methods	MEG
1993	Preoperative Language Mapping Using High-Density Scalp EEG: A Pilot Study	James	Surgenor	Dartmouth-Hitchcock Medical Center	Novel Imaging Acquisition Methods	EEG
1994	Everybody Moves: Quantifying Sharpness in Motion Corrected T1-Maps at 7T	Pierre-Louis	Bazin	University of Amsterdam	Novel Imaging Acquisition Methods	Anatomical MRI
1995	Effects of menopausal estrogen loss on the functional brain activity underlying associative memory	Alana	Brown	University of Toronto	Novel Imaging Acquisition Methods	BOLD fMRI
1996	Childhood trauma, schizotypy and subcortical grey matter volume: An ENIGMA mega-analysis	Yann	Quidé	UNSW Sydney	Novel Imaging Acquisition Methods	Anatomical MRI
1997	Advantage of diffusion MRI with simultaneous multi-slice readout-segmented EPI in tractography	Hiromasa	Takemura	National Institute of Information and Communications Technology	Novel Imaging Acquisition Methods	Diffusion MRI
1998	Mapping directional functional connectivity across brain-wide networks with layer-specific CBV-fMR	Laurentius	Huber	MR-Methods group, MBIC	Novel Imaging Acquisition Methods	BOLD fMRI
1999	Functional brain network organization predicts cognitive decline in multiple sclerosis	Ilse	Nauta	Amsterdam UMC, Vrije Universiteit Amsterdam	Novel Imaging Acquisition Methods	MEG
2001	Dynamically Acquired 1H MRS for Detection of 13C Labeled Cerebral Glucose Metabolism In-vivo	Masoumeh	Dehghani	McGill university	Novel Imaging Acquisition Methods	MR Spectroscopy
2002	Accelerated MRI acquisitions for combined diffusometry and T2- or T2*-relaxometry	Steven	Baete	New York University, School of Medicine	Novel Imaging Acquisition Methods	Diffusion MRI
2003	Enhanced regional functional connectivity indicates seizure onset zone	Jianpo	Su	National University of Defense Technology	Novel Imaging Acquisition Methods	Multi-Modal Imaging
2004	Fast EPI geometry correction: application to functional and diffusion MRI	Maarten	Versluis	Philips Healthcare	Novel Imaging Acquisition Methods	Diffusion MRI
2005	Short Echo-Time fMRI using Magnetization Transfer Contrast	Riccardo	Metere	Radboud University	Novel Imaging Acquisition Methods	Non-BOLD fMRI
2006	Intracranial EEG atlas of human sleep	Nicolas	von Ellenrieder	Montreal Neurological Institute, McGill University	Novel Imaging Acquisition Methods	EEG
2007	Automated Pipeline for EEG Artifact Reduction (APPEAR) Recorded during fMRI	Ahmad	Mayeli	Laureate Institute for Brain Research	Novel Imaging Acquisition Methods	Multi-Modal Imaging
2008	A Bayesian normative model to estimate multi-scanner effects in structural neuroimaging data	Johanna	Bayer	The University of Melbourne	Novel Imaging Acquisition Methods	Anatomical MRI
2009	LIONirs toolbox design for fNIRS data analysis.	Julie	Tremblay	Université de Montréal	Novel Imaging Acquisition Methods	NIRS
2010	A Preliminary MRS Analysis of Effects of Olanzapine vs. Placebo in Remitted Psychotic Depression	Hideaki	Tani	Centre for Addiction and Mental Health	Novel Imaging Acquisition Methods	MR Spectroscopy
2011	The Interaction Between COMT Genotype, Tolcapone and Stress on Working Memory Related Brain Activity	Marieke	Martens	University of Oxford	Novel Imaging Acquisition Methods	BOLD fMRI
2013	The relationship between motor ability and cognitive control.	Marta	Topor	University of Surrey	Novel Imaging Acquisition Methods	EEG
2014	Layer-dependent BOLD/VAPER fMRI signal fluctuations show distinct cortical depth profiles	Arman	Khojandi	National Institute of Mental Health	Novel Imaging Acquisition Methods	Non-BOLD fMRI
2015	Wireless fNIRS system compared to gold standard for detection of upper-extremity movement	Chris	Friesen	Dalhousie University	Novel Imaging Acquisition Methods	NIRS
2016	Relationship between apathy and the prefrontocaudate tract injury in patients with mTBI	yousung	seo	Yeungnam univ. hospital	Novel Imaging Acquisition Methods	Imaging Methods Other
2017	The reliability of multiple parameters in fMRI changed by timescale in high sample individual	Xiaolin	Yang	Center for Study of Applied Psychology, School of Psychology, South China Normal University, Guangzh	Novel Imaging Acquisition Methods	BOLD fMRI
2018	Neural connectivity of the precuneus in the human brain: a diffusion tensor tractography study	yousung	seo	Yeungnam univ. hospital	Novel Imaging Acquisition Methods	Diffusion MRI
2019	MR Facility Quality Assurance: A publicly available protocol	John	Pyles	Carnegie Mellon University	Novel Imaging Acquisition Methods	Imaging Methods Other
2020	A robust processing pipeline for source estimation to MEG spikes	Li	Zheng	Peking University	Novel Imaging Acquisition Methods	MEG
2021	Associations between glutamate and resting state functional connectivity in Cannabis users.	Canek	Llera-Magord	Instituto de Neurobiología, UNAM	Novel Imaging Acquisition Methods	BOLD fMRI
2022	Silent fMRI of auditory and motor functions using coherence-resolved Looping Star	Nikou	Damestani	King's College London	Novel Imaging Acquisition Methods	BOLD fMRI
2023	Impact of sex on weight-loss and brain function in obese patients at 6-month post-surgery	Jia	Wang	Center for Brain Imaging, School of Life Science and Technology, Xidian University	Novel Imaging Acquisition Methods	BOLD fMRI
2024	Exploring the locus coeruleus with high-field MRI	Andrew	Reid	University of Nottingham	Novel Imaging Acquisition Methods	Anatomical MRI
2025	Fast, quantitative myelin maps: Macromolecular pool fraction (MPF) using an optimized protocol	Kimberly	Desmond	CAMH	Novel Imaging Acquisition Methods	Imaging Methods Other
2026	Abnormal propagated activity of the precuneus in disorders of consciousness	Yu	Guo	South China Normal University	Novel Imaging Acquisition Methods	BOLD fMRI
2027	Neural response to attentional state modulation is sensitive to development and trait inattention	Sufang	Li	Georgetown University	Novel Imaging Acquisition Methods	BOLD fMRI
2028	How cerebral cortex protects itself from interictal spikes: the alpha/beta inhibition hypothesis	Giovanni	Pellegrino	IRCCS San Camillo Hospital	Novel Imaging Acquisition Methods	MEG
2029	Time-Varying Source Reconstruction (tvSR)	Ryan	Timms	University of Oxford	Novel Imaging Acquisition Methods	MEG
2030	Reproducibility Assessment of Neuromelanin-Sensitive MRI Protocols for ROI and Voxelwise Analyses	Kenneth	Wengler	Columbia University	Novel Imaging Acquisition Methods	Imaging Methods Other
2031	Repeatability and reproducibility of quantitative synthetic MRI across vendors and field strengths.	Gabriel	Mangeat	Polytechnique Montreal	Novel Imaging Acquisition Methods	Multi-Modal Imaging
2032	Towards a resource for harmonisation of structural, diffusion and functional MRI across scanners	Asante	Ntata	University of Nottingham	Novel Imaging Acquisition Methods	Multi-Modal Imaging
2033	Global Signal in Deep Anesthesia	Ho-Ching	Yang	Purdue University	Novel Imaging Acquisition Methods	BOLD fMRI
2034	A pipeline for MEG/fMRI co-processing to examine dynamic brain activity during associative learning	Sangeeta	Nair	University of Alabama at Birmingham	Novel Imaging Acquisition Methods	Multi-Modal Imaging
2035	Reproducibility of in vivo Cortical GABA & Glx with MEGA-PRESS: Comparing 8 & 32 Channel Head Coils	Peter	Truong	Centre for Addiction and Mental Health	Novel Imaging Acquisition Methods	MR Spectroscopy
